X,Y,time,wind_speed
11.789999961853,33.1699981689453,42368.1491548843,47
11.8199996948242,33.2199974060059,42368.1491666898,50
11.8400001525879,33.2700004577637,42368.1491784954,50
11.8699998855591,33.3099975585938,42368.1491903125,48
11.8999996185303,33.3600006103516,42368.149202118,43
11.9499998092651,33.4599990844727,42368.1492257292,38
12.0099992752075,33.5499992370605,42368.1492493403,40
12.0599994659424,33.6499977111816,42368.1492729629,44
12.0900001525879,33.7000007629395,42368.1492847685,45
12.1199998855591,33.7399978637695,42368.1492965741,47
12.1499996185303,33.7900009155273,42368.1493083796,47
12.1700000762939,33.8400001525879,42368.1493201852,49
12.1999998092651,33.8899993896484,42368.1493319907,50
12.2299995422363,33.9300003051758,42368.1493438078,50
12.2599992752075,33.9799995422363,42368.1493556134,50
12.289999961853,34.0299987792969,42368.149367419,52
12.3099994659424,34.0799980163574,42368.1493792245,49
12.3400001525879,34.1199989318848,42368.1493910301,50
12.3699998855591,34.1699981689453,42368.1494028356,49
12.3999996185303,34.2199974060059,42368.1494146412,48
12.4299993515015,34.2700004577637,42368.1494264583,48
12.4499998092651,34.3199996948242,42368.1494382638,49
12.4799995422363,34.3600006103516,42368.1494500694,49
12.5099992752075,34.4099998474121,42368.149461875,49
12.539999961853,34.4599990844727,42368.1494736805,49
12.5699996948242,34.5099983215332,42368.1494854861,48
12.5900001525879,34.5499992370605,42368.1494973032,47
12.6199998855591,34.5999984741211,42368.1495091087,46
12.6499996185303,34.6499977111816,42368.1495209143,46
12.6799993515015,34.7000007629395,42368.1495327199,46
12.710000038147,34.7399978637695,42368.1495445254,45
12.7399997711182,34.7900009155273,42368.149556331,44
12.7599992752075,34.8400001525879,42368.1495681365,46
12.789999961853,34.8800010681152,42368.1495799538,48
12.8199996948242,34.9300003051758,42368.1495917593,48
12.8499994277954,34.9799995422363,42368.1496035648,47
12.8800001144409,35.0299987792969,42368.1496153703,46
12.9099998474121,35.0699996948242,42368.1496271759,45
12.9299993515015,35.1199989318848,42368.1496389814,41
12.960000038147,35.1699981689453,42368.1496507986,37
12.9899997711182,35.2199974060059,42368.1496626042,31
13.0199995040894,35.2599983215332,42368.1496744098,28
13.0499992370605,35.3099975585938,42368.1496862153,29
13.0799999237061,35.3600006103516,42368.1496980209,31
13.1099996566772,35.4099998474121,42368.1497098263,34
13.1399993896484,35.4500007629395,42368.1497216319,36
13.1700000762939,35.5,42368.1497334491,38
13.1899995803833,35.5499992370605,42368.1497452547,39
13.2199993133545,35.5999984741211,42368.1497570602,40
13.25,35.6399993896484,42368.1497688658,42
13.2799997329712,35.689998626709,42368.1497806713,42
13.3099994659424,35.7399978637695,42368.1497924768,42
13.3400001525879,35.7799987792969,42368.149804294,44
13.3699998855591,35.8299980163574,42368.1498160996,44
13.3999996185303,35.8800010681152,42368.1498279051,45
13.4299993515015,35.9300003051758,42368.1498397107,44
13.460000038147,35.9699974060059,42368.1498515162,44
13.4899997711182,36.0200004577637,42368.1498633218,40
13.5199995040894,36.0699996948242,42368.1498751274,35
13.5499992370605,36.1100006103516,42368.1498869444,30
13.5699996948242,36.1599998474121,42368.14989875,13
13.6300001144409,36.2599983215332,42368.1499223611,11
13.6599998474121,36.2999992370605,42368.1499341667,14
13.6899995803833,36.3499984741211,42368.1499459723,15
13.7199993133545,36.3999977111816,42368.1499577893,16
13.75,36.439998626709,42368.1499695949,17
13.7799997329712,36.4899978637695,42368.1499814005,20
13.8099994659424,36.5400009155273,42368.149993206,18
13.8400001525879,36.5900001525879,42368.1500050116,15
13.8699998855591,36.6300010681152,42368.1500168171,14
13.8999996185303,36.6800003051758,42368.1500286227,13
13.9299993515015,36.7299995422363,42368.1500404398,16
13.960000038147,36.7700004577637,42368.1500522454,24
13.9899997711182,36.8199996948242,42368.1500640509,38
14.0199995040894,36.8699989318848,42368.1500758565,52
14.0499992370605,36.9199981689453,42368.150087662,52
14.0799999237061,36.9599990844727,42368.1500994676,49
14.1099996566772,37.0099983215332,42368.1501112847,39
15.0299997329712,38.3899993896484,42368.1504603588,23
15.0899991989136,38.4899978637695,42368.1504839699,35
15.1199998855591,38.5299987792969,42368.150495787,40
15.1499996185303,38.5799980163574,42368.1505075926,39
15.1899995803833,38.629997253418,42368.1505193982,41
15.2199993133545,38.6699981689453,42368.1505312037,42
15.25,38.7199974060059,42368.1505430093,40
15.3099994659424,38.8099975585938,42368.1505666319,28
15.3499994277954,38.8600006103516,42368.1505784375,25
15.3800001144409,38.9099998474121,42368.1505902431,26
15.4099998474121,38.9500007629395,42368.1506020486,30
15.4399995803833,39.0,42368.1506138542,26
15.4699993133545,39.0499992370605,42368.1506256597,18
15.539999961853,39.1399993896484,42368.1506492824,16
15.5999994277954,39.2299995422363,42368.1506728935,22
15.6399993896484,39.2799987792969,42368.1506846991,22
15.6999998092651,39.3699989318848,42368.1507083102,16
15.7699995040894,39.4599990844727,42368.1507319328,15
17.0599994659424,41.2299995422363,42368.1511844213,51
17.0900001525879,41.2799987792969,42368.1511962385,55
17.1199989318848,41.3199996948242,42368.151208044,56
17.1599998474121,41.3699989318848,42368.1512198496,56
17.1900005340576,41.4199981689453,42368.1512316552,54
17.2299995422363,41.4599990844727,42368.1512434606,45
17.2600002288818,41.5099983215332,42368.1512552662,34
17.2999992370605,41.5499992370605,42368.1512670717,25
17.3299999237061,41.5999984741211,42368.1512788889,22
17.4400005340576,41.7399978637695,42368.1513143056,19
17.4699993133545,41.7799987792969,42368.1513261111,20
17.5100002288818,41.8299980163574,42368.1513379166,20
